Number	STRLocus	Chrom	Start	End	Chr_Range
1	TPOX	chr2	1493425	1493456	chr2:1493425-1493456
2	D2S1338	chr2	218879582	218879673	chr2:218879582-218879673
3	D3S1358	chr3	45582231	45582294	chr3:45582231-45582294
4	FGA	chr4	155508888	155508975	chr4:155508888-155508975
5	D5S818	chr5	123111250	123111293	chr5:123111250-123111293
6	CSF1PO	chr5	149455887	149455938	chr5:149455887-149455938
7	D6S1043	chr6	92449943	92449990	chr6:92449943-92449990
8	D7S820	chr7	83789542	83789593	chr7:83789542-83789593
9	D8S1179	chr8	125907107	125907158	chr8:125907107-125907158
10	TH01	chr11	2192318	2192345	chr11:2192318-2192345
11	vWA	chr12	6093143	6093210	chr12:6093143-6093210
12	D12S391	chr12	12449954	12450029	chr12:12449954-12450029
13	D13S317	chr13	82722160	82722203	chr13:82722160-82722203
14	D16S539	chr16	86386308	86386351	chr16:86386308-86386351
15	D18S51	chr18	60948900	60948971	chr18:60948900-60948971
16	D19S433	chr19	30417142	30417205	chr19:30417142-30417205
17	PentaD	chr21	45056086	45056150	chr21:45056086-45056150
18	DYS393	chrY	3131152	3131199	chrY:3131152-3131199
19	DYS456	chrY	4270960	4271019	chrY:4270960-4271019
20	DYS570	chrY	6861231	6861298	chrY:6861231-6861298
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
